Language	ISO 639-3 Code	Type
Barok	bjk	Living
Barombi	bbi	Living
Barro Negro Tunebo	tbn	Living
Baruga	bjz	Living
Baruya	byr	Living
Barwe	bwg	Living
Barzani Jewish Neo-Aramaic	bjf	Living
Basa (Cameroon)	bas	Living
Basa (Nigeria)	bzw	Living
Basa-Gurmana	buj	Living
Basap	bdb	Living
Bashkardi	bsg	Living
Bashkir	bak	Living
Basketo	bst	Living
Basque	eus	Living
Bassa	bsq	Living
Bassa-Kontagora	bsr	Living
Bassari	bsc	Living
Bassossi	bsi	Living
Bata	bta	Living
Batad Ifugao	ifb	Living
Batak	bya	Living
Batak Alas-Kluet	btz	Living
Batak Angkola	akb	Living
Batak Dairi	btd	Living
Batak Karo	btx	Living
Batak Mandailing	btm	Living
Batak Simalungun	bts	Living
Batak Toba	bbc	Living
Batanga	bnm	Living
Batek	btq	Living
Bateri	btv	Living
Bathari	bhm	Living
Bati (Cameroon)	btc	Living
Bati (Indonesia)	bvt	Living
Bats	bbl	Living
Batu	btu	Living
Batui	zbt	Living
Batuley	bay	Living
Batyala	xby	Living
Bau	bbd	Living
Bau Bidayuh	sne	Living
Bauchi	bsf	Living
Baure	brg	Living
Bauria	bge	Living
Bauwaki	bwk	Living
Bauzi	bvz	Living
Bavarian	bar	Living
Bawm Chin	bgr	Living
Baybayanon	bvy	Living
Bayono	byl	Living
Bayot	bda	Living
Bayungu	bxj	Living
Bazigar	bfr	Living
Beami	beo	Living
Beaver	bea	Living
Beba	bfp	Living
Bebele	beb	Living
Bebeli	bek	Living
Bebil	bxp	Living
Bedjond	bjv	Living
Bedoanas	bed	Living
Beeke	bkf	Living
Beele	bxq	Living
Beembe	beq	Living
Beezen	bnz	Living
Befang	bby	Living
Beja	bej	Living
Bekati'	bei	Living
Bekwarra	bkv	Living
Bekwel	bkw	Living
Belait	beg	Living
Belanda Bor	bxb	Living
Belanda Viri	bvi	Living
Belarusian	bel	Living
Belhariya	byw	Living
Beli (Papua New Guinea)	bey	Living
Beli (Sudan)	blm	Living
Belize Kriol English	bzj	Living
Bella Coola	blc	Living
Bellari	brw	Living
Bemba (Zambia)	bem	Living
Bembe	bmb	Living
Ben Tey Dogon	dbt	Living
Bena (Nigeria)	yun	Living
Bena (Tanzania)	bez	Living
Benabena	bef	Living
Bench	bcq	Living
Bende	bdp	Living
Bendi	bct	Living
Beng	nhb	Living
Benga	bng	Living
Bengali	ben	Living
Benggoi	bgy	Living
Bengkala Sign Language	bqy	Living
Bentong	bnu	Living
Benyadu'	byd	Living
Bepour	bie	Living
Bera	brf	Living
Berakou	bxv	Living
Berau Malay	bve	Living
Berik	bkl	Living
Berinomo	bit	Living
Berom	bom	Living
Berta	wti	Living
Besisi	mhe	Living
Besme	bes	Living
Besoa	bep	Living
Betaf	bfe	Living
Betawi	bew	Living
Bete	byf	Living
Bete-Bendi	btt	Living
Beti (Côte d'Ivoire)	eot	Living
Betta Kurumba	xub	Living
Bezhta	kap	Living
Bhadrawahi	bhd	Living
Bhalay	bhx	Living
Bharia	bha	Living
